epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.0543,1.15333,5.38391,1.70208,0.26176,0.42649,0.34736,0.26207,1.00332,2.76184,1.63527,0.000109832,0.000109832,0.000109832
2,92.0944,0.88967,2.66644,1.3999,0.54554,0.59719,0.62424,0.47191,0.92839,1.81541,1.52431,0.000214585,0.000214585,0.000214585
3,136.643,0.87896,2.14124,1.38741,0.63506,0.65897,0.73483,0.55619,0.95934,1.55841,1.55976,0.000313059,0.000313059,0.000313059
4,180.144,0.8812,1.84322,1.37524,0.61274,0.74212,0.79236,0.57831,1.06196,1.39585,1.69488,0.000304743,0.000304743,0.000304743
5,223.221,0.83541,1.60551,1.3373,0.6992,0.72078,0.82545,0.64676,0.86882,1.25694,1.48919,0.000295323,0.000295323,0.000295323
6,268.207,0.80222,1.43841,1.3199,0.83756,0.79431,0.89627,0.71329,0.94074,1.04548,1.5351,0.000285904,0.000285904,0.000285904
7,311.204,0.79751,1.35109,1.30035,0.75462,0.79102,0.86645,0.67524,0.93514,1.10396,1.51407,0.000276485,0.000276485,0.000276485
8,354.276,0.78448,1.25096,1.29174,0.83043,0.81113,0.89455,0.67275,1.02087,0.89982,1.55628,0.000267066,0.000267066,0.000267066
9,398.028,0.76921,1.1681,1.27498,0.84115,0.73686,0.89592,0.72973,0.7874,1.02393,1.35615,0.000257647,0.000257647,0.000257647
10,440.993,0.75161,1.08857,1.26758,0.86789,0.84375,0.92,0.69403,1.01382,0.8845,1.58243,0.000248228,0.000248228,0.000248228
11,485.985,0.75361,1.06581,1.26128,0.81804,0.83912,0.91394,0.6964,0.9683,0.75064,1.55859,0.000238809,0.000238809,0.000238809
12,531.022,0.73309,0.98005,1.23513,0.81627,0.81901,0.94052,0.75848,0.87905,0.73708,1.45213,0.000229389,0.000229389,0.000229389
13,574.741,0.73027,0.96725,1.2386,0.82924,0.87995,0.94331,0.72586,1.00767,0.67817,1.61734,0.00021997,0.00021997,0.00021997
14,618.235,0.71622,0.88372,1.22212,0.86514,0.8703,0.94947,0.7576,0.89425,0.70493,1.42937,0.000210551,0.000210551,0.000210551
15,662.392,0.70523,0.8992,1.22618,0.87288,0.85626,0.93923,0.7739,0.80085,0.67237,1.37247,0.000201132,0.000201132,0.000201132
16,705.651,0.6816,0.81194,1.20171,0.88345,0.89649,0.9451,0.74414,0.91615,0.62786,1.47554,0.000191713,0.000191713,0.000191713
17,748.527,0.67812,0.82436,1.1953,0.88562,0.84996,0.93478,0.74128,0.89002,0.59568,1.45519,0.000182294,0.000182294,0.000182294
18,792.447,0.65795,0.7869,1.18057,0.8768,0.85361,0.92703,0.72888,0.94764,0.61852,1.52972,0.000172875,0.000172875,0.000172875
19,836.595,0.66314,0.78184,1.18984,0.84455,0.8763,0.93856,0.72785,0.97187,0.66264,1.54362,0.000163455,0.000163455,0.000163455
20,879.744,0.63703,0.73647,1.17299,0.91032,0.85008,0.91483,0.73068,0.86192,0.62744,1.4189,0.000154036,0.000154036,0.000154036
21,923.715,0.62906,0.72036,1.16343,0.92504,0.8562,0.94017,0.75345,0.91401,0.59095,1.49558,0.000144617,0.000144617,0.000144617
22,967.039,0.6234,0.68499,1.16325,0.89287,0.85769,0.94362,0.71812,1.02712,0.63554,1.66569,0.000135198,0.000135198,0.000135198
23,1010.37,0.61306,0.65645,1.15646,0.91558,0.83384,0.93474,0.75523,0.84943,0.60117,1.45027,0.000125779,0.000125779,0.000125779
24,1054.87,0.62927,0.6623,1.16243,0.91974,0.86567,0.93342,0.72837,0.96984,0.56948,1.57359,0.00011636,0.00011636,0.00011636
25,1100.35,0.60099,0.62465,1.14345,0.91524,0.85302,0.94337,0.7462,0.92306,0.59036,1.53006,0.000106941,0.000106941,0.000106941
26,1145.08,0.46812,0.33548,1.10449,0.9272,0.86555,0.94498,0.74325,0.91691,0.57649,1.51643,9.75214e-05,9.75214e-05,9.75214e-05
27,1188.22,0.44503,0.31448,1.08413,0.91944,0.87178,0.94154,0.75002,0.90722,0.57518,1.50138,8.81023e-05,8.81023e-05,8.81023e-05
28,1231.22,0.43486,0.29379,1.06702,0.89599,0.88857,0.93272,0.75069,0.88229,0.52945,1.49121,7.86831e-05,7.86831e-05,7.86831e-05
29,1273.61,0.42815,0.2851,1.07027,0.93099,0.85437,0.94161,0.7637,0.86199,0.54739,1.47637,6.9264e-05,6.9264e-05,6.9264e-05
30,1316.01,0.41821,0.27465,1.05623,0.91862,0.90068,0.94664,0.76643,0.87886,0.53543,1.50553,5.98449e-05,5.98449e-05,5.98449e-05
31,1358.43,0.40169,0.25894,1.03304,0.9222,0.87347,0.93986,0.77524,0.81234,0.52368,1.41225,5.04257e-05,5.04257e-05,5.04257e-05
32,1402.48,0.39244,0.25776,1.02898,0.91581,0.90595,0.95005,0.76552,0.86295,0.5,1.48434,4.10066e-05,4.10066e-05,4.10066e-05
33,1445.31,0.38207,0.24975,1.02107,0.92734,0.88347,0.9551,0.77114,0.86302,0.51028,1.4841,3.15874e-05,3.15874e-05,3.15874e-05
34,1487.9,0.37195,0.24395,1.01365,0.93941,0.87604,0.95025,0.77681,0.85744,0.52343,1.4901,2.21683e-05,2.21683e-05,2.21683e-05
35,1530.5,0.37082,0.23785,1.01186,0.929,0.90198,0.95404,0.77928,0.84104,0.51689,1.4607,1.27491e-05,1.27491e-05,1.27491e-05
